Term	Annotator1	Annotator2	Annotator3	Annotator4	Annotator5
''east_germany	germany	germany	germany	germany	germany
000	none	none	none	none	none
abitibi	canada	canada	canada	canada	canada
abroad	none	none	none	none	none
administration	none	none	none	none	none
afghanistan	iraq	iraq	iraq	iraq	none
african_nations	none	none	none	none	none
age	none	none	none	none	none
aichi	japan	japan	japan	japan	japan
aids	none	none	none	none	none
akio	japan	japan	japan	japan	japan
alain	none	japan	france	none	none
alberta	canada	canada	canada	canada	canada
aleksandr	none	none	russia	russia	russia
all	none	none	none	none	none
allied	none	none	none	none	none
allies	none	none	none	none	none
also	none	none	none	none	none
america	united_states	united_states	united_states	united_states	united_states
american	united_states	united_states	united_states	united_states	united_states
american_forces	united_states	united_states	united_states	united_states	united_states
american_soldiers	united_states	united_states	united_states	united_states	united_states
american_troops	united_states	united_states	united_states	united_states	united_states
americans	united_states	united_states	united_states	united_states	united_states
analysts	none	none	none	none	none
andrei	none	russia	russia	russia	russia
apartment	none	none	none	none	none
apartments	none	none	none	none	none
arab	iraq	iraq	iraq	iraq	none
arab_nations	iraq	iraq	iraq	iraq	none
area	none	none	none	none	none
argyll	britain	britain	britain	britain	britain
army	none	none	none	none	none
around	none	none	none	none	none
art	none	none	none	none	none
asia	none	none	none	none	none
assets	none	none	none	none	none
atalanta	united_states	united_states	united_states	united_states	united_states
attack	none	none	none	none	none
attacks	none	none	none	none	none
avenue	none	none	none	none	none
away	none	none	none	none	none
back	none	none	none	none	none
baghdad	iraq	iraq	iraq	iraq	iraq
baghdadi	iraq	iraq	iraq	iraq	iraq
bank	none	none	none	none	none
banks	none	none	none	none	none
baseball	none	none	none	none	none
because	none	none	none	none	none
bedroom	none	none	none	none	none
beijing	china	china	china	china	china
beijing_university	china	china	china	china	china
belgian	none	none	none	none	none
belgians	none	none	none	none	none
belgique	none	none	france	france	none
belgium	none	none	none	none	none
berezovsky	russia	russia	russia	russia	russia
bergamo	italy	italy	italy	italy	italy
berlin	germany	germany	germany	germany	germany
berliners	germany	germany	germany	germany	germany
bilateral	none	none	none	none	none
bill	none	none	none	none	none
billion	none	none	none	none	none
billion_yen	japan	japan	japan	japan	japan
board	none	none	none	none	none
bogdanov	none	none	russia	russia	russia
bologna	italy	italy	italy	italy	italy
bonn	germany	germany	germany	germany	germany
bordeaux	france	france	france	france	france
boris	britain	britain	britain	britain	none
brantford	none	canada	canada	canada	canada
brescia	italy	italy	italy	italy	italy
brewer	none	none	none	none	none
britain	britain	britain	britain	britain	britain
britian	britain	britain	britain	britain	britain
british	britain	britain	britain	britain	britain
british_caledonian	britain	britain	britain	britain	britain
british_columbia	canada	canada	canada	canada	canada
british_empire	britain	britain	britain	britain	britain
british_government	britain	britain	britain	britain	britain
british_intelligence	britain	britain	britain	britain	britain
british_prime_minister	britain	britain	britain	britain	britain
britons	britain	britain	britain	britain	britain
building	none	none	none	none	none
buildings	none	none	none	none	none
bush	united_states	united_states	united_states	united_states	united_states
bush_administration	united_states	united_states	united_states	united_states	united_states
business	none	none	none	none	none
but	none	none	none	none	none
cagliari	italy	italy	italy	italy	italy
calgary	canada	canada	canada	canada	canada
campaign	none	none	none	none	none
canada	canada	canada	canada	canada	canada
canadian	canada	canada	canada	canada	canada
canadians	canada	canada	canada	canada	canada
case	none	none	none	none	none
caserta	italy	italy	italy	italy	italy
cases	none	none	none	none	none
catania	italy	italy	italy	italy	italy
chancellor	germany	germany	germany	germany	germany
charges	none	none	none	none	none
chen	none	china	china	china	china
chiba	none	none	japan	japan	japan
children	none	none	none	none	none
china	china	china	china	china	china
chinese	china	china	china	china	china
chinese_army	china	china	china	china	china
chinese_culture	china	china	china	china	china
chinese_yuan	china	china	china	china	china
chirac	france	france	france	france	france
city	none	none	none	none	none
civilian	none	none	none	none	none
claude	none	none	none	none	none
clinton	united_states	united_states	united_states	united_states	united_states
coach	none	none	none	none	none
coalition_forces	iraq	iraq	iraq	iraq	none
college	none	none	none	none	none
command	none	none	none	none	none
commander	none	none	none	none	none
commanders	none	none	none	none	none
commerzbank	germany	germany	germany	germany	germany
committee	none	none	none	none	none
communist_china	china	china	china	china	china
communist_party	none	none	none	none	china
community	none	none	none	none	none
companies	none	none	none	none	none
company	none	none	none	none	none
congress	none	none	none	none	none
construction	none	none	none	none	none
