Term	Annotator1	Annotator2	Annotator3	Annotator4	Annotator5
''net	none	none	none	none	none
''revelations	none	none	none	none	none
000	none	none	none	none	none
acute_care	health	health	health	health	health
ad	business	business	business	business	business
addenda	none	none	none	none	none
administration	politics	politics	politics	politics	politics
advertising	business	business	business	business	business
african_art	arts	arts	arts	arts	arts
agency	politics	politics	none	none	none
ago	none	none	none	none	none
aids	none	none	none	none	health
also	none	none	none	none	none
amateur	none	none	none	sports	none
american	none	none	none	none	none
american_dance_festival	arts	none	arts	arts	arts
american_forces	politics	politics	politics	politics	politics
american_troops	politics	politics	politics	politics	politics
americans	none	none	politics	none	none
analysts	none	business	none	business	none
another	none	none	none	none	none
anthropology	science	education	science	science	science
apartment	real_estate	real_estate	real_estate	real_estate	real_estate
apartments	real_estate	real_estate	real_estate	real_estate	real_estate
area	none	none	none	none	none
army	politics	politics	politics	politics	politics
around	none	none	none	none	none
art	arts	arts	arts	arts	arts
art_history	arts	arts	arts	arts	arts
art_museum	arts	arts	arts	arts	arts
artist	arts	arts	arts	arts	arts
artistic	arts	arts	arts	arts	arts
artists	arts	arts	arts	arts	arts
artists'	arts	arts	arts	arts	arts
arts	arts	arts	arts	arts	arts
artworks	arts	arts	arts	arts	arts
astronomy	science	science	science	science	science
astrophysics	politics	science	science	science	science
athlete	sports	sports	sports	sports	sports
athletes	sports	sports	sports	sports	sports
athletes'	sports	sports	sports	sports	sports
athletic	sports	sports	sports	sports	sports
athletic_fields	sports	sports	sports	sports	sports
athleticism	sports	sports	sports	sports	sports
athletics	sports	sports	sports	sports	sports
attacks	politics	politics	politics	politics	none
audiovisual	arts	arts	arts	arts	arts
authoritarianism	politics	politics	politics	politics	politics
avant_garde	none	none	arts	arts	arts
avenue	none	business	none	none	none
back	none	none	none	none	none
badminton	sports	sports	sports	sports	sports
baghdad	none	none	politics	none	none
bagouet	none	none	arts	none	arts
ballet	arts	arts	arts	arts	arts
ballet_company	arts	arts	arts	arts	arts
bank	business	business	business	business	business
banks	business	business	business	business	business
baseball	sports	sports	sports	sports	sports
basic_research	science	science	science	science	science
basketball	sports	sports	sports	sports	sports
beatable	none	none	none	none	none
beijing	none	politics	politics	politics	none
big_business	business	business	business	business	business
bill	politics	business	none	none	politics
billion	none	none	business	none	none
biochemistry	science	science	science	science	science
biologist	science	science	science	science	science
biology	science	science	science	science	science
biomedical_research	science	science	science	science	science
blood	health	health	health	health	health
board_of_education	education	education	education	education	education
board_of_regents	education	education	education	education	education
brand	business	business	business	business	business
brokerage	business	business	business	business	business
brokerage_houses	real_estate	real_estate	real_estate	real_estate	real_estate
building	none	none	real_estate	none	real_estate
buildings	real_estate	real_estate	real_estate	real_estate	real_estate
bush	none	none	politics	none	none
