Term	Annotator1	Annotator2	Annotator3	Annotator4	Annotator5
10	none	none	none	none	none
10oz	none	none	steak	none	none
12oz	none	none	steak	none	none
2lbs	none	none	steak	none	none
agedashi_tofu	none	none	none	none	none
alfredo	noodles	noodles	noodles	noodles	noodles
alfredo_sauce	none	none	noodles	none	none
alligator	none	none	seafood	none	none
almond	none	none	none	none	none
also	none	none	none	none	none
always	none	none	none	none	none
amazing	none	none	none	none	none
another	none	none	none	none	none
appetiser	none	none	none	none	none
appetizer	none	none	none	none	none
appetizers	none	none	none	none	none
asked	none	none	none	none	none
asparagus	none	salad	none	none	none
atmosphere	none	none	none	none	none
ayce	sushi	none	sushi	sushi	sushi
ayce_sushi	sushi	sushi	sushi	sushi	sushi
back	none	none	steak	none	none
bacon	none	none	none	none	burgers
bad	none	none	none	none	none
baked_potato	none	none	steak	none	none
balsamic	salad	salad	salad	salad	salad
balsamic_vinaigrette	salad	salad	salad	salad	salad
bar	none	none	none	none	none
bbq_pork	none	none	none	none	none
beef	steak	steak	none	steak	none
beef_wellington	none	steak	steak	none	steak
beets	none	salad	none	none	none
belly	none	steak	none	none	none
best	none	none	none	none	none
bisque	none	none	none	none	none
bit	none	none	none	none	none
blooming_onion	none	none	none	none	none
blue_cheese	salad	none	none	none	salad
blue_crab	seafood	seafood	seafood	seafood	seafood
bone	none	steak	noodles	none	none
bordelaise	none	steak	steak	steak	steak
bowl	none	none	none	none	none
bowls	none	none	none	none	none
braised	none	none	none	none	none
bread	none	none	none	none	none
breads	none	burgers	none	none	none
breadsticks	none	salad	none	none	none
breakfast	none	none	none	none	none
breakfasts	none	none	none	none	none
broth	none	none	noodles	noodles	noodles
brown_rice	none	none	none	none	none
brunch	none	none	none	none	none
bun	burgers	burgers	burgers	burgers	burgers
buns	burgers	burgers	burgers	burgers	burgers
burger	burgers	burgers	burgers	burgers	burgers
burger_joint	burgers	burgers	burgers	burgers	burgers
burger_joints	burgers	burgers	burgers	burgers	burgers
burger_king	burgers	burgers	burgers	burgers	burgers
burgers	burgers	burgers	burgers	burgers	burgers
burritos	none	none	none	none	none
butterscotch	desserts	desserts	desserts	desserts	desserts
caesar	salad	sushi	salad	salad	salad
caesar_salad	salad	salad	salad	salad	salad
cake	desserts	desserts	desserts	desserts	desserts
called	none	none	none	none	none
calzone	pizza	pizza	pizza	pizza	pizza
calzones	pizza	pizza	pizza	pizza	pizza
came	none	none	none	none	none
candied	desserts	desserts	desserts	desserts	desserts
candies	desserts	desserts	desserts	desserts	desserts
caprese_salad	salad	salad	salad	salad	salad
caramel	desserts	desserts	desserts	desserts	desserts
carmelized	none	none	desserts	desserts	desserts
cesar_salad	salad	salad	salad	salad	salad
cha	none	none	none	none	none
cheese	none	burgers	none	none	none
cheeseburger	burgers	burgers	burgers	burgers	burgers
cheeseburgers	burgers	burgers	burgers	burgers	burgers
cheesecake	desserts	desserts	desserts	desserts	desserts
cheesecakes	desserts	desserts	desserts	desserts	desserts
cheeses	pizza	pizza	none	none	none
cheesesteaks	steak	desserts	steak	steak	steak
chefs	none	none	none	none	none
chicken	none	burgers	none	none	none
chicken_fried_steak	steak	steak	steak	steak	steak
chicken_soup	none	none	noodles	noodles	none
chickpea	none	none	none	none	none
chickpeas	none	none	none	none	none
china	none	none	none	none	none
chinese	none	none	noodles	none	none
chinese_noodles	noodles	noodles	noodles	noodles	noodles
chocolate	desserts	desserts	desserts	desserts	desserts
chocolates	desserts	desserts	desserts	desserts	desserts
chocolatier	desserts	desserts	desserts	desserts	desserts
chopped_salad	salad	salad	salad	salad	salad
churros	desserts	none	desserts	desserts	desserts
chutneys	none	none	none	none	none
clam	seafood	seafood	seafood	seafood	seafood
clams	seafood	seafood	seafood	seafood	seafood
close	none	none	none	none	none
cobb_salad	salad	salad	salad	salad	salad
coffee	none	none	none	none	none
coffees	desserts	none	none	none	desserts
cold_pizza	pizza	pizza	pizza	pizza	pizza
condiment	none	none	none	none	none
condiments	none	none	none	none	none
cooked	none	none	none	none	none
corned_beef	none	steak	none	none	none
could	none	none	none	none	none
couscous	none	none	none	none	none
crab	seafood	seafood	seafood	seafood	seafood
crabs	seafood	seafood	seafood	seafood	seafood
crawfish	seafood	seafood	seafood	seafood	seafood
crepes	none	desserts	desserts	desserts	desserts
croissants	desserts	desserts	desserts	none	none
croutons	salad	salad	salad	none	salad
crust	none	salad	pizza	pizza	pizza
crusts	pizza	salad	pizza	pizza	pizza
cucumber	none	salad	none	salad	none
curry	none	none	none	none	none
custards	desserts	desserts	desserts	desserts	desserts
dan_dan	none	noodles	noodles	noodles	noodles
dark_chocolate	desserts	desserts	desserts	desserts	desserts
de	none	none	none	none	none
deep_dish	pizza	none	pizza	pizza	pizza
delicacies	desserts	none	none	none	none
delicious	none	none	none	none	none
delivery	none	none	none	none	none
dessert	desserts	desserts	desserts	desserts	desserts
desserts	desserts	desserts	desserts	desserts	desserts
dinner	none	none	none	none	none
dipping_sauce	none	none	none	none	none
dipping_sauces	none	none	none	none	none
dish	none	none	none	none	none
domino	pizza	pizza	pizza	pizza	pizza
double_cheeseburger	burgers	burgers	burgers	burgers	burgers
double_double	none	burgers	none	burgers	none
dough	pizza	pizza	pizza	pizza	pizza
doughnuts	desserts	desserts	desserts	desserts	desserts
dragon	none	none	sushi	none	none
dressing	salad	salad	salad	salad	salad
dressings	salad	none	salad	salad	salad
driver	none	none	none	none	none
dry_aged	steak	steak	steak	steak	steak
dumplings	none	noodles	none	none	noodles
eat	none	none	none	none	none
edamame	salad	salad	sushi	none	none
eel	seafood	seafood	sushi	none	none
egg	none	none	none	none	none
entree	none	none	none	none	none
entrees	none	none	none	none	none
escargot	none	steak	none	none	none
even	none	none	none	none	none
experience	none	none	none	none	none
fast_food	burgers	burgers	none	burgers	none
fast_food_restaurant	none	none	none	none	none
fatburger	burgers	burgers	burgers	burgers	burgers
feeling	none	none	none	none	none
feta_cheese	salad	salad	salad	salad	salad
figs	none	none	none	none	none
filet	steak	steak	steak	steak	steak
filet_mignon	steak	steak	steak	steak	steak
fillet	steak	steak	steak	steak	steak
fillet_mignon	steak	steak	steak	steak	steak
